leg,time,lat,lng,tickLead,tickRace,distance
0,2016-01-06T01:38:46Z,-33.35598300,147.93000000,-699.0,-11012.0,171.189
0,2016-01-06T01:39:16Z,-33.35601600,147.93336000,-669.0,-10982.0,171.194
0,2016-01-06T01:39:47Z,-33.35601600,147.93338300,-638.0,-10951.0,171.195
0,2016-01-06T01:40:17Z,-33.35601600,147.93338300,-608.0,-10921.0,171.195
0,2016-01-06T01:40:47Z,-33.35600000,147.93336000,-578.0,-10891.0,171.192
0,2016-01-06T01:41:17Z,-33.35600000,147.93336000,-548.0,-10861.0,171.192
0,2016-01-06T01:41:47Z,-33.35600000,147.93336000,-518.0,-10831.0,171.192
0,2016-01-06T01:42:17Z,-33.35600000,147.93336000,-488.0,-10801.0,171.192
0,2016-01-06T01:42:47Z,-33.35601600,147.93336000,-458.0,-10771.0,171.194
1,2016-01-06T01:43:17Z,-33.35675000,147.93381600,-428.0,-10741.0,171.285
1,2016-01-06T01:43:24Z,-33.35740000,147.93430000,-421.0,-10734.0,171.37
1,2016-01-06T01:43:25Z,-33.35748300,147.93436000,-420.0,-10733.0,171.381
1,2016-01-06T01:43:35Z,-33.35826000,147.93508300,-410.0,-10723.0,171.487
1,2016-01-06T01:43:45Z,-33.35880000,147.93601600,-400.0,-10713.0,171.576
1,2016-01-06T01:43:55Z,-33.35916000,147.93703000,-390.0,-10703.0,171.651
1,2016-01-06T01:44:05Z,-33.35953000,147.93820000,-380.0,-10693.0,171.732
1,2016-01-06T01:44:15Z,-33.35996000,147.93923000,-370.0,-10683.0,171.815
1,2016-01-06T01:44:25Z,-33.36015000,147.94030000,-360.0,-10673.0,171.873
1,2016-01-06T01:44:35Z,-33.35943000,147.94156000,-350.0,-10663.0,171.848
1,2016-01-06T01:44:45Z,-33.35803000,147.94276000,-340.0,-10653.0,171.751
1,2016-01-06T01:44:55Z,-33.35653000,147.94383000,-330.0,-10643.0,171.638
1,2016-01-06T01:45:05Z,-33.35511600,147.94493000,-320.0,-10633.0,171.536
1,2016-01-06T01:45:15Z,-33.35441600,147.94638300,-310.0,-10623.0,171.519
1,2016-01-06T01:45:25Z,-33.35430000,147.94771600,-300.0,-10613.0,171.558
1,2016-01-06T01:45:35Z,-33.35460000,147.94886000,-290.0,-10603.0,171.632
1,2016-01-06T01:45:45Z,-33.35498300,147.94991600,-280.0,-10593.0,171.711
1,2016-01-06T01:45:55Z,-33.35501600,147.95106000,-270.0,-10583.0,171.758
