leg,time,lat,lng,tickLead,tickRace,distance
0,2016-01-07T01:38:29Z,-33.35568333,147.93310000,1161.0,-21441.0,367.937
0,2016-01-07T01:38:39Z,-33.35660000,147.93406667,1171.0,-21431.0,368.034
1,2016-01-07T01:38:41Z,-33.35681667,147.93431667,1173.0,-21429.0,368.057
1,2016-01-07T01:38:42Z,-33.35691667,147.93443333,1174.0,-21428.0,368.068
1,2016-01-07T01:38:52Z,-33.35793333,147.93540000,1184.0,-21418.0,368.177
1,2016-01-07T01:39:02Z,-33.35861667,147.93618333,1194.0,-21408.0,368.249
1,2016-01-07T01:39:12Z,-33.35920000,147.93723333,1204.0,-21398.0,368.31
1,2016-01-07T01:39:22Z,-33.35955000,147.93830000,1214.0,-21388.0,368.344
1,2016-01-07T01:39:32Z,-33.35993333,147.93935000,1224.0,-21378.0,368.382
1,2016-01-07T01:39:42Z,-33.36003333,147.94043333,1234.0,-21368.0,368.389
1,2016-01-07T01:39:52Z,-33.35980000,147.94133333,1244.0,-21358.0,368.359
1,2016-01-07T01:40:02Z,-33.35978333,147.94216667,1254.0,-21348.0,368.354
1,2016-01-07T01:40:12Z,-33.36016667,147.94295000,1264.0,-21338.0,368.393
1,2016-01-07T01:40:23Z,-33.36066667,147.94343333,1275.0,-21327.0,368.447
1,2016-01-07T01:40:33Z,-33.36121667,147.94365000,1285.0,-21317.0,368.507
1,2016-01-07T01:40:43Z,-33.36190000,147.94373333,1295.0,-21307.0,368.583
1,2016-01-07T01:40:53Z,-33.36258333,147.94360000,1305.0,-21297.0,368.659
1,2016-01-07T01:41:03Z,-33.36333333,147.94380000,1315.0,-21287.0,368.742
1,2016-01-07T01:41:13Z,-33.36433333,147.94406667,1325.0,-21277.0,368.852
1,2016-01-07T01:41:23Z,-33.36536667,147.94450000,1335.0,-21267.0,368.965
1,2016-01-07T01:41:33Z,-33.36585000,147.94470000,1345.0,-21257.0,369.018
1,2016-01-07T01:41:43Z,-33.36478333,147.94430000,1355.0,-21247.0,368.901
1,2016-01-07T01:41:53Z,-33.36545000,147.94376667,1365.0,-21237.0,368.977
1,2016-01-07T01:42:03Z,-33.36443333,147.94335000,1375.0,-21227.0,368.866
1,2016-01-07T01:42:13Z,-33.36498333,147.94333333,1385.0,-21217.0,368.927
1,2016-01-07T01:42:23Z,-33.36380000,147.94266667,1395.0,-21207.0,368.798
1,2016-01-07T01:42:33Z,-33.36395000,147.94280000,1405.0,-21197.0,368.814
1,2016-01-07T01:42:43Z,-33.36286667,147.94208333,1415.0,-21187.0,368.697
1,2016-01-07T01:42:53Z,-33.36333333,147.94186667,1425.0,-21177.0,368.75
1,2016-01-07T01:43:03Z,-33.36228333,147.94165000,1435.0,-21167.0,368.634
1,2016-01-07T01:43:13Z,-33.36218333,147.94036667,1445.0,-21157.0,368.628
