leg,tickLead,tickRace,distance,area
0,472.0,,124.59,0.0
1,663.0,,124.587,0.0
1,673.0,,124.537,0.0
1,683.0,,124.469,0.0
1,844.0,,124.431,0.0
1,854.0,,124.387,0.0
1,864.0,,124.381,0.0
1,874.0,,124.32,0.0
1,884.0,,124.3,0.0
1,894.0,,124.298,0.0
1,904.0,,124.227,0.0
1,924.0,,124.151,0.0
1,944.0,,124.098,0.0
1,974.0,,124.091,0.0
1,1004.0,,123.983,0.0
1,1034.0,,123.859,0.0
1,1044.0,,123.837,0.0
1,1064.0,,123.723,0.0
1,1074.0,,123.673,0.0
1,1104.0,,123.567,0.0
1,1134.0,,123.458,0.0
1,1194.0,,123.362,0.0
1,1205.0,,123.223,0.0
1,1215.0,,123.073,0.0
1,1225.0,,122.922,0.0
1,1235.0,,122.775,0.0
1,1245.0,,122.61,0.0
1,1255.0,,122.431,0.0
1,1265.0,,122.259,0.0
1,1275.0,,122.108,0.0
1,1285.0,,121.954,0.0
1,1415.0,,121.891,0.0
1,1435.0,,121.855,0.0
1,1455.0,,121.837,0.0
1,1465.0,,121.743,0.0
1,1485.0,,121.698,0.0
1,1495.0,,121.603,0.0
1,1526.0,,121.538,0.0
1,1540.0,,121.508,0.0
1,1541.0,,121.497,0.0
1,1561.0,,121.438,0.0
1,1571.0,,121.431,0.0
1,1581.0,,121.418,0.0
1,1591.0,,121.278,0.0
1,1621.0,,121.218,0.0
1,1661.0,,121.084,0.0
1,1691.0,,120.955,0.0
1,1701.0,,120.903,0.0
1,1711.0,,120.786,0.0
1,1721.0,,120.665,0.0
1,1742.0,,120.64,0.0
1,1752.0,,120.533,0.0
1,1782.0,,120.507,0.0
1,1792.0,,120.401,0.0
1,1842.0,,120.393,0.0
1,1852.0,,120.344,0.0
1,1862.0,,120.243,0.0
1,1872.0,,120.115,0.0
1,1882.0,,119.977,0.0
1,1892.0,,119.86,0.0
2,1902.0,,119.678,2.973817155759844e-9
2,1912.0,,119.479,3.263487879957649e-9
2,1922.0,,119.291,3.0942039402994478e-9
2,1932.0,,119.106,3.055889028474722e-9
2,1942.0,,118.937,2.8018784305358704e-9
2,1952.0,,118.878,9.822657738922617e-10
2,1983.0,,118.8,1.3184517592681062e-9
2,2013.0,,118.681,2.040222572208959e-9
2,2033.0,,118.611,1.2110901117830493e-9
2,2043.0,,118.523,1.5289835349788264e-9
2,2063.0,,118.387,2.3838530039562063e-9
2,2073.0,,118.299,1.548504555008184e-9
2,2103.0,,118.157,2.5324209547612964e-9
2,2133.0,,118.065,1.6624820612343926e-9
2,2153.0,,117.983,1.4945696198623759e-9
2,2173.0,,117.915,1.25011751706143e-9
2,2183.0,,117.899,2.953937119663042e-10
2,2193.0,,117.889,1.8544634288508174e-10
2,2203.0,,117.762,2.36453337279866e-9
2,2213.0,,117.749,2.429930798358183e-10
2,2233.0,,117.743,1.1315508478978992e-10
2,2253.0,,117.671,1.3695690011536985e-9
2,2274.0,,117.518,2.9346535599845625e-9
2,2294.0,,117.491,5.220349923879539e-10
2,2304.0,,117.453,7.37714589940517e-10
2,2314.0,,117.392,1.1888647508367925e-9
2,2334.0,,117.38,2.358230979377342e-10
2,2344.0,,117.367,2.5654228183725784e-10
2,2354.0,,117.341,5.151878853588729e-10
2,2364.0,,117.282,1.1736213739356495e-9
2,2374.0,,117.198,1.6769640362442304e-9
2,2384.0,,117.065,2.6639099222924175e-9
2,2434.0,,117.049,3.269835349789362e-10
2,2454.0,,116.914,2.7797993638178892e-9
2,2474.0,,116.895,3.941599221554682e-10
2,2484.0,,116.893,4.165448272601815e-11
2,2494.0,,116.797,2.0066228509479125e-9
2,2514.0,,116.72,1.6211845042110747e-9
2,2524.0,,116.663,1.2041798818607314e-9
2,2534.0,,116.641,4.664546416222281e-10
2,2544.0,,116.478,3.466892102635112e-9
2,2555.0,,116.331,3.1359270221621586e-9
2,2585.0,,116.208,2.6516695543120335e-9
2,2595.0,,116.075,2.8751755883466723e-9
2,2615.0,,115.944,2.8505225588842405e-9
2,2645.0,,115.919,5.498637361337936e-10
2,2655.0,,115.872,1.0373298979172805e-9
2,2675.0,,115.834,8.447002169744036e-10
2,2686.0,,115.823,2.454720582745616e-10
2,2696.0,,115.746,1.7240465034913314e-9
2,2716.0,,115.684,1.3976520095495488e-9
2,2736.0,,115.562,2.7682677659328834e-9
2,2756.0,,115.467,2.1693381790132617e-9
2,2776.0,,115.374,2.137338457471954e-9
2,2786.0,,115.36,3.227592411039254e-10
2,2796.0,,115.344,3.7014357652964144e-10
2,2806.0,,115.182,3.7582056289038634e-9
2,2827.0,,115.174,1.8684146632345213e-10
2,2837.0,,115.034,3.279183545626259e-9
2,2857.0,,114.994,9.427767808302017e-10
2,2867.0,,114.959,8.275471739930668e-10
2,2887.0,,114.882,1.8324112709499631e-9
2,2907.0,,114.764,2.825165324231393e-9
2,2917.0,,114.749,3.601578795545419e-10
2,2937.0,,114.637,2.7061185624970423e-9
2,2967.0,,114.541,2.341098287421983e-9
2,2977.0,,114.467,1.8093356949855492e-9
2,2997.0,,114.4,1.6481725067200741e-9
2,3007.0,,114.273,3.1319151041837366e-9
2,3048.0,,114.109,4.0942902333901504e-9
2,3058.0,,114.104,1.2514278284604249e-10
2,3078.0,,113.965,3.499513046281354e-9
2,3088.0,,113.861,2.6240485072230604e-9
2,3098.0,,113.722,3.5147462358883804e-9
2,3108.0,,113.516,5.217796433344873e-9
2,3118.0,,113.302,5.427818834586347e-9
2,3128.0,,113.081,5.612557091695536e-9
2,3138.0,,112.889,4.882732097855118e-9
2,3148.0,,112.731,4.024642864607997e-9
2,3158.0,,112.578,3.904271758848219e-9
2,3168.0,,112.406,4.396663180789796e-9
2,3178.0,,112.227,4.582879348139601e-9
2,3188.0,,112.029,5.076746958350804e-9
2,3198.0,,111.901,3.2874461831753878e-9
2,3208.0,,111.804,2.496546892309234e-9
2,3219.0,,111.67,3.4570902752147417e-9
2,3229.0,,111.494,4.548443378783281e-9
2,3239.0,,111.306,4.8656618860394e-9
2,3249.0,,111.112,5.027815301122021e-9
2,3259.0,,110.933,4.64554137540179e-9
2,3269.0,,110.757,4.574373631794349e-9
2,3279.0,,110.583,4.529064580488858e-9
2,3289.0,,110.427,4.066851731185572e-9
2,3299.0,,110.232,5.090922847691063e-9
2,3309.0,,110.026,5.384602168329292e-9
2,3319.0,,109.825,5.260047887808058e-9
2,3329.0,,109.618,5.423302327570826e-9
2,3339.0,,109.428,4.983830800776718e-9
2,3349.0,,109.27,4.150256980832162e-9
2,3359.0,,109.119,3.972607458385934e-9
2,3369.0,,108.953,4.373880853429585e-9
2,3379.0,,108.786,4.406551293216225e-9
2,3389.0,,108.625,4.25438610247598e-9
2,3399.0,,108.445,4.763009182302107e-9
2,3409.0,,108.278,4.424930144956966e-9
2,3419.0,,108.155,3.2642666977705122e-9
2,3429.0,,108.084,1.8880687360623252e-9
2,3439.0,,107.953,3.490515349224403e-9
2,3459.0,,107.94,3.481692551328479e-10
2,3469.0,,107.778,4.34774077559558e-9
2,3489.0,,107.666,3.019335259379301e-9
2,3499.0,,107.662,1.0808424251769816e-10
2,3509.0,,107.605,1.544164717826549e-9
2,3519.0,,107.52,2.307740749075991e-9
2,3630.0,,107.41,3.07789848386814e-9
2,3640.0,,107.405,1.4021482510377393e-10
2,3670.0,,107.294,3.1367290604387425e-9
2,3680.0,,107.203,2.5761335654479244e-9
2,3700.0,,107.2,8.535162214176048e-11
2,3710.0,,107.087,3.2218559620306602e-9
2,3720.0,,106.995,2.6276581451774397e-9
2,3730.0,,106.857,3.947836675035697e-9
2,3740.0,,106.783,2.1205271342074936e-9
2,3780.0,,106.675,3.125258421488927e-9
2,3790.0,,106.499,5.099693264230576e-9
2,3800.0,,106.3,5.771174401224052e-9
2,3810.0,,106.109,5.543565714099651e-9
2,3820.0,,105.909,5.809303079522362e-9
2,3830.0,,105.7,6.07487208600513e-9
2,3840.0,,105.5,5.8171876939787715e-9
2,3850.0,,105.31,5.5304883464591184e-9
2,3860.0,,105.139,4.981822208083589e-9
2,3870.0,,104.969,4.957473689612602e-9
2,3881.0,,104.788,5.284411432120262e-9
2,3891.0,,104.602,5.4348561637132856e-9
2,3901.0,,104.407,5.702082438523632e-9
2,3911.0,,104.226,5.296723916557249e-9
2,3921.0,,104.073,4.481603193370805e-9
2,3931.0,,103.918,4.545034956405988e-9
2,3941.0,,103.719,5.840125764315895e-9
2,3951.0,,103.56,4.670005602619754e-9
2,3971.0,,103.55,2.9495712980922844e-10
2,3981.0,,103.448,3.014508005386514e-9
2,4001.0,,103.406,1.2466361258138067e-9
2,4021.0,,103.304,3.0405606777890205e-9
2,4051.0,,103.275,8.703708845620373e-10
2,4061.0,,103.231,1.3233547584663049e-9
2,4081.0,,103.166,1.963546880666258e-9
2,4091.0,,103.066,3.025822694101718e-9
2,4111.0,,102.981,2.5822045437427698e-9
2,4121.0,,102.956,7.609129016878062e-10
2,4151.0,,102.89,2.022539648333904e-9
2,4161.0,,102.763,3.897574532046427e-9
2,4171.0,,102.662,3.1036504454574002e-9
3,4175.0,,102.627,1.0758411364558636e-9
3,4206.0,,102.526,3.125550045420853e-9
3,4216.0,,102.326,6.194820817033785e-9
3,4226.0,,102.126,6.197389535537932e-9
3,4236.0,,101.925,6.230869840259651e-9
3,4246.0,,101.715,6.512088825701544e-9
3,4256.0,,101.516,6.1730897706445295e-9
3,4266.0,,101.318,6.144474404591956e-9
3,4276.0,,101.139,5.5575255442816245e-9
3,4286.0,,101.111,8.704757384792087e-10
3,4307.0,,100.978,4.151711150187912e-9
3,4327.0,,100.968,3.1338636241726505e-10
3,4337.0,,100.846,3.829644720445309e-9
3,4347.0,,100.735,3.488350836781173e-9
3,4377.0,,100.617,3.729687495431044e-9
3,4387.0,,100.435,5.757121073977955e-9
3,4397.0,,100.3,4.273377699020537e-9
3,4427.0,,100.164,4.328553254731121e-9
3,4437.0,,100.082,2.6129137455761345e-9
3,4447.0,,100.074,2.5537811238730545e-10
3,4467.0,,99.991,2.6602540075601457e-9
3,4497.0,,99.977,4.515120746983338e-10
3,4517.0,,99.921,1.8134455051538696e-9
3,4538.0,,99.891,9.755853183218784e-10
3,4558.0,,99.863,9.142938103679797e-10
3,4578.0,,99.756,3.5068677200225846e-9
3,4608.0,,99.692,2.1095026385250753e-9
3,4628.0,,99.644,1.5881015501595627e-9
3,4638.0,,99.59,1.789558505751821e-9
3,4678.0,,99.517,2.4385268911742063e-9
3,4698.0,,99.463,1.8103983353561825e-9
3,4708.0,,99.306,5.269175965691618e-9
3,4718.0,,99.145,5.406236584006911e-9
3,4728.0,,98.997,4.972487138018165e-9
3,4738.0,,98.849,4.975560241744927e-9
3,4748.0,,98.694,5.213891582267805e-9
3,4758.0,,98.537,5.283931874245242e-9
3,4768.0,,98.386,5.084726293763858e-9
3,4778.0,,98.217,5.693521085630303e-9
3,4788.0,,98.059,5.325205479611217e-9
3,4798.0,,97.937,4.114577295028235e-9
3,4808.0,,97.785,5.129861439699057e-9
3,4818.0,,97.771,4.730683787965448e-10
