fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
7,0,1,2124.023374264307,2124.023374264307,,,,235.0,113.005
37,1,6,2385.023374264307,2385.023374264307,,,,670.0,112.947
39,1,8,2397.023374264307,2397.023374264307,,,,683.0,112.946
40,1,9,2403.023374264307,2403.023374264307,,,,706.0,112.882
42,1,11,2415.023374264307,2415.023374264307,,,,729.0,112.818
43,1,12,2421.023374264307,2421.023374264307,,,,746.0,112.788
45,1,14,2433.023374264307,2433.023374264307,,,,767.0,112.719
47,1,16,2445.023374264307,2445.023374264307,,,,779.0,112.681
48,1,17,2451.023374264307,2451.023374264307,,,,792.0,112.598
50,1,19,2463.023374264307,2463.023374264307,,,,815.0,112.561
51,1,20,2469.023374264307,2469.023374264307,,,,831.0,112.492
53,1,22,2481.023374264307,2481.023374264307,,,,850.0,112.42
54,1,23,2487.023374264307,2487.023374264307,,,,866.0,112.396
55,1,24,2493.023374264307,2493.023374264307,,,,869.0,112.387
56,1,25,2499.023374264307,2499.023374264307,,,,883.0,112.301
57,1,26,2505.023374264307,2505.023374264307,,,,893.0,112.287
59,1,28,2517.023374264307,2517.023374264307,,,,893.0,112.217
60,1,29,2523.023374264307,2523.023374264307,,,,900.0,112.148
63,1,32,2541.023374264307,2541.023374264307,,,,901.0,112.079
64,1,33,2547.023374264307,2547.023374264307,,,,903.0,111.988
68,1,37,2571.023374264307,2571.023374264307,,,,887.0,111.94
69,1,38,2577.023374264307,2577.023374264307,,,,876.0,111.82
70,1,39,2583.023374264307,2583.023374264307,,,,873.0,111.711
71,1,40,2589.023374264307,2589.023374264307,,,,880.0,111.643
74,1,43,2607.023374264307,2607.023374264307,,,,904.0,111.562
77,1,46,2625.023374264307,2625.023374264307,,,,921.0,111.47
79,1,48,2637.023374264307,2637.023374264307,,,,930.0,111.469
80,1,49,2643.023374264307,2643.023374264307,,,,933.0,111.373
83,1,52,2661.023374264307,2661.023374264307,,,,941.0,111.322
84,1,53,2667.023374264307,2667.023374264307,,,,951.0,111.229
