fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
1,,,,257.0,1317.023374264307,1317.023374264307,1,0,113.067,0.0
175,,,,1154.0,1665.023374264307,1665.023374264307,175,0,113.056,0.0
180,,,,1172.0,1675.023374264307,1675.023374264307,180,0,113.036,0.0
181,,,,1175.0,1677.023374264307,1677.023374264307,181,0,112.995,0.0
182,,,,1181.0,1679.023374264307,1679.023374264307,182,0,112.965,0.0
183,,,,1187.0,1681.023374264307,1681.023374264307,183,0,112.953,0.0
191,,,,1208.0,1697.023374264307,1697.023374264307,1,1,112.924,0.0
192,,,,1212.0,1699.023374264307,1699.023374264307,2,1,112.882,0.0
193,,,,1222.0,1701.023374264307,1701.023374264307,3,1,112.853,0.0
194,,,,1224.0,1703.023374264307,1703.023374264307,4,1,112.847,0.0
197,,,,1241.0,1709.023374264307,1709.023374264307,7,1,112.826,0.0
198,,,,1244.0,1711.023374264307,1711.023374264307,8,1,112.789,0.0
199,,,,1246.0,1713.023374264307,1713.023374264307,9,1,112.75,0.0
200,,,,1253.0,1715.023374264307,1715.023374264307,10,1,112.736,0.0
205,,,,1277.0,1725.023374264307,1725.023374264307,15,1,112.702,0.0
206,,,,1281.0,1727.023374264307,1727.023374264307,16,1,112.662,0.0
207,,,,1286.0,1729.023374264307,1729.023374264307,17,1,112.639,0.0
213,,,,1309.0,1741.023374264307,1741.023374264307,23,1,112.611,0.0
214,,,,1316.0,1743.023374264307,1743.023374264307,24,1,112.572,0.0
215,,,,1319.0,1745.023374264307,1745.023374264307,25,1,112.53,0.0
216,,,,1324.0,1747.023374264307,1747.023374264307,26,1,112.492,0.0
217,,,,1328.0,1749.023374264307,1749.023374264307,27,1,112.473,0.0
218,,,,1332.0,1751.023374264307,1751.023374264307,28,1,112.47,0.0
223,,,,1353.0,1761.023374264307,1761.023374264307,33,1,112.44,0.0
224,,,,1357.0,1763.023374264307,1763.023374264307,34,1,112.397,0.0
225,,,,1362.0,1765.023374264307,1765.023374264307,35,1,112.373,0.0
232,,,,1394.0,1779.023374264307,1779.023374264307,42,1,112.346,0.0
233,,,,1398.0,1781.023374264307,1781.023374264307,43,1,112.305,0.0
234,,,,1402.0,1783.023374264307,1783.023374264307,44,1,112.263,0.0
235,,,,1408.0,1785.023374264307,1785.023374264307,45,1,112.231,0.0
236,,,,1412.0,1787.023374264307,1787.023374264307,46,1,112.226,0.0
240,,,,1431.0,1795.023374264307,1795.023374264307,50,1,112.208,0.0
241,,,,1434.0,1797.023374264307,1797.023374264307,51,1,112.165,0.0
242,,,,1438.0,1799.023374264307,1799.023374264307,52,1,112.13,0.0
243,,,,1444.0,1801.023374264307,1801.023374264307,53,1,112.113,0.0
252,,,,1473.0,1819.023374264307,1819.023374264307,62,1,112.102,0.0
253,,,,1475.0,1821.023374264307,1821.023374264307,63,1,112.059,0.0
254,,,,1478.0,1823.023374264307,1823.023374264307,64,1,112.017,0.0
255,,,,1481.0,1825.023374264307,1825.023374264307,65,1,111.986,0.0
256,,,,1487.0,1827.023374264307,1827.023374264307,66,1,111.976,0.0
262,,,,1500.0,1839.023374264307,1839.023374264307,72,1,111.933,0.0
263,,,,1503.0,1841.023374264307,1841.023374264307,73,1,111.892,0.0
264,,,,1506.0,1843.023374264307,1843.023374264307,74,1,111.873,0.0
285,,,,1558.0,1885.023374264307,1885.023374264307,95,1,111.84,0.0
286,,,,1562.0,1887.023374264307,1887.023374264307,96,1,111.801,0.0
287,,,,1568.0,1889.023374264307,1889.023374264307,97,1,111.766,0.0
288,,,,1569.0,1891.023374264307,1891.023374264307,98,1,111.744,0.0
292,,,,1580.0,1899.023374264307,1899.023374264307,102,1,111.74,0.0
293,,,,1583.0,1901.023374264307,1901.023374264307,103,1,111.696,0.0
294,,,,1585.0,1903.023374264307,1903.023374264307,104,1,111.667,0.0
295,,,,1591.0,1905.023374264307,1905.023374264307,105,1,111.664,0.0
299,,,,1597.0,1913.023374264307,1913.023374264307,109,1,111.661,0.0
300,,,,1600.0,1915.023374264307,1915.023374264307,110,1,111.62,0.0
301,,,,1601.0,1917.023374264307,1917.023374264307,111,1,111.575,0.0
302,,,,1605.0,1919.023374264307,1919.023374264307,112,1,111.536,0.0
303,,,,1609.0,1921.023374264307,1921.023374264307,113,1,111.518,0.0
304,,,,1609.0,1923.023374264307,1923.023374264307,114,1,111.516,0.0
311,,,,1621.0,1937.023374264307,1937.023374264307,121,1,111.512,0.0
312,,,,1625.0,1939.023374264307,1939.023374264307,122,1,111.474,0.0
313,,,,1624.0,1941.023374264307,1941.023374264307,123,1,111.432,0.0
314,,,,1626.0,1943.023374264307,1943.023374264307,124,1,111.414,0.0
318,,,,1640.0,1951.023374264307,1951.023374264307,128,1,111.409,0.0
319,,,,1642.0,1953.023374264307,1953.023374264307,129,1,111.372,0.0
320,,,,1641.0,1955.023374264307,1955.023374264307,130,1,111.328,0.0
321,,,,1640.0,1957.023374264307,1957.023374264307,131,1,111.296,0.0
322,,,,1645.0,1959.023374264307,1959.023374264307,132,1,111.291,0.0
326,,,,1655.0,1967.023374264307,1967.023374264307,136,1,111.29,0.0
327,,,,1660.0,1969.023374264307,1969.023374264307,137,1,111.257,0.0
328,,,,1662.0,1971.023374264307,1971.023374264307,138,1,111.221,0.0
329,,,,1662.0,1973.023374264307,1973.023374264307,139,1,111.179,0.0
330,,,,1661.0,1975.023374264307,1975.023374264307,140,1,111.141,0.0
331,,,,1668.0,1977.023374264307,1977.023374264307,141,1,111.119,0.0
332,,,,1671.0,1979.023374264307,1979.023374264307,142,1,111.118,0.0
336,,,,1675.0,1987.023374264307,1987.023374264307,146,1,111.088,0.0
337,,,,1678.0,1989.023374264307,1989.023374264307,147,1,111.041,0.0
338,,,,1683.0,1991.023374264307,1991.023374264307,148,1,111.0,0.0
339,,,,1686.0,1993.023374264307,1993.023374264307,149,1,110.978,0.0
344,,,,1694.0,2003.023374264307,2003.023374264307,154,1,110.975,0.0
345,,,,1702.0,2005.023374264307,2005.023374264307,155,1,110.936,0.0
346,,,,1705.0,2007.023374264307,2007.023374264307,156,1,110.894,0.0
347,,,,1706.0,2009.023374264307,2009.023374264307,157,1,110.853,0.0
348,,,,1706.0,2011.023374264307,2011.023374264307,158,1,110.825,0.0
