leg,tickLead,tickRace,distance,area
0,711.0,-21891.0,367.938,0.0
1,954.0,-21648.0,367.936,0.0
1,956.0,-21646.0,367.924,0.0
1,958.0,-21644.0,367.92,0.0
1,1310.0,-21292.0,367.908,0.0
1,1312.0,-21290.0,367.894,0.0
1,1314.0,-21288.0,367.888,0.0
1,1347.0,-21255.0,367.877,0.0
1,1349.0,-21253.0,367.847,0.0
1,1351.0,-21251.0,367.814,0.0
1,1353.0,-21249.0,367.786,0.0
1,1355.0,-21247.0,367.766,0.0
1,1357.0,-21245.0,367.753,0.0
1,1359.0,-21243.0,367.752,0.0
1,1377.0,-21225.0,367.746,0.0
1,1379.0,-21223.0,367.721,0.0
1,1381.0,-21221.0,367.702,0.0
1,1383.0,-21219.0,367.686,0.0
1,1385.0,-21217.0,367.676,0.0
1,1407.0,-21195.0,367.656,0.0
1,1409.0,-21193.0,367.624,0.0
1,1411.0,-21191.0,367.601,0.0
1,1413.0,-21189.0,367.591,0.0
1,1439.0,-21163.0,367.581,0.0
1,1441.0,-21161.0,367.563,0.0
1,1443.0,-21159.0,367.555,0.0
1,1561.0,-21041.0,367.535,0.0
1,1563.0,-21039.0,367.511,0.0
1,1565.0,-21037.0,367.5,0.0
1,1583.0,-21019.0,367.492,0.0
1,1585.0,-21017.0,367.462,0.0
1,1587.0,-21015.0,367.438,0.0
1,1588.0,-21014.0,367.429,0.0
1,1590.0,-21012.0,367.418,0.0
1,1592.0,-21010.0,367.415,0.0
1,1620.0,-20982.0,367.393,0.0
1,1622.0,-20980.0,367.36,0.0
1,1624.0,-20978.0,367.331,0.0
1,1626.0,-20976.0,367.31,0.0
1,1628.0,-20974.0,367.299,0.0
1,1630.0,-20972.0,367.298,0.0
1,1703.0,-20899.0,367.272,0.0
1,1705.0,-20897.0,367.242,0.0
1,1707.0,-20895.0,367.207,0.0
1,1709.0,-20893.0,367.176,0.0
1,1711.0,-20891.0,367.164,0.0
1,1723.0,-20879.0,367.137,0.0
1,1725.0,-20877.0,367.103,0.0
1,1727.0,-20875.0,367.085,0.0
1,1729.0,-20873.0,367.084,0.0
1,1747.0,-20855.0,367.049,0.0
1,1749.0,-20853.0,367.014,0.0
1,1751.0,-20851.0,366.979,0.0
1,1753.0,-20849.0,366.95,0.0
1,1755.0,-20847.0,366.939,0.0
1,1773.0,-20829.0,366.909,0.0
1,1775.0,-20827.0,366.893,0.0
1,1777.0,-20825.0,366.892,0.0
1,1791.0,-20811.0,366.856,0.0
1,1793.0,-20809.0,366.826,0.0
1,1795.0,-20807.0,366.804,0.0
1,1797.0,-20805.0,366.799,0.0
1,1811.0,-20791.0,366.798,0.0
1,1813.0,-20789.0,366.762,0.0
1,1815.0,-20787.0,366.737,0.0
1,1817.0,-20785.0,366.725,0.0
1,1819.0,-20783.0,366.72,0.0
1,1821.0,-20781.0,366.719,0.0
1,1846.0,-20756.0,366.709,0.0
1,1848.0,-20754.0,366.669,0.0
1,1850.0,-20752.0,366.627,0.0
1,1852.0,-20750.0,366.586,0.0
1,1854.0,-20748.0,366.548,0.0
1,1856.0,-20746.0,366.521,0.0
1,1858.0,-20744.0,366.505,0.0
1,1860.0,-20742.0,366.504,0.0
1,1874.0,-20728.0,366.497,0.0
1,1876.0,-20726.0,366.46,0.0
1,1878.0,-20724.0,366.425,0.0
1,1880.0,-20722.0,366.399,0.0
1,1882.0,-20720.0,366.391,0.0
1,1902.0,-20700.0,366.362,0.0
1,1904.0,-20698.0,366.321,0.0
1,1906.0,-20696.0,366.279,0.0
1,1908.0,-20694.0,366.238,0.0
1,1910.0,-20692.0,366.207,0.0
1,1912.0,-20690.0,366.191,0.0
1,1914.0,-20688.0,366.188,0.0
1,1934.0,-20668.0,366.159,0.0
1,1936.0,-20666.0,366.119,0.0
1,1938.0,-20664.0,366.076,0.0
1,1940.0,-20662.0,366.036,0.0
1,1942.0,-20660.0,365.993,0.0
1,1944.0,-20658.0,365.948,0.0
1,1946.0,-20656.0,365.905,0.0
1,1948.0,-20654.0,365.864,0.0
1,1950.0,-20652.0,365.826,0.0
1,1952.0,-20650.0,365.792,0.0
1,1954.0,-20648.0,365.771,0.0
1,1956.0,-20646.0,365.764,0.0
1,1988.0,-20614.0,365.749,0.0
1,1990.0,-20612.0,365.708,0.0
1,1992.0,-20610.0,365.669,0.0
1,1994.0,-20608.0,365.63,0.0
1,1996.0,-20606.0,365.592,0.0
1,1998.0,-20604.0,365.556,0.0
1,2000.0,-20602.0,365.522,0.0
1,2002.0,-20600.0,365.49,0.0
1,2004.0,-20598.0,365.461,0.0
1,2006.0,-20596.0,365.436,0.0
1,2008.0,-20594.0,365.414,0.0
1,2010.0,-20592.0,365.393,0.0
1,2012.0,-20590.0,365.366,0.0
1,2014.0,-20588.0,365.337,0.0
1,2016.0,-20586.0,365.296,0.0
1,2018.0,-20584.0,365.271,0.0
1,2020.0,-20582.0,365.248,0.0
1,2022.0,-20580.0,365.222,0.0
1,2024.0,-20578.0,365.199,0.0
1,2026.0,-20576.0,365.175,0.0
1,2028.0,-20574.0,365.151,0.0
1,2030.0,-20572.0,365.124,0.0
1,2032.0,-20570.0,365.097,0.0
1,2034.0,-20568.0,365.074,0.0
1,2036.0,-20566.0,365.053,0.0
1,2038.0,-20564.0,365.035,0.0
1,2041.0,-20561.0,365.019,0.0
1,2043.0,-20559.0,365.002,0.0
1,2045.0,-20557.0,364.988,0.0
1,2047.0,-20555.0,364.971,0.0
1,2049.0,-20553.0,364.953,0.0
1,2051.0,-20551.0,364.932,0.0
1,2053.0,-20549.0,364.908,0.0
1,2055.0,-20547.0,364.881,0.0
1,2057.0,-20545.0,364.852,0.0
1,2059.0,-20543.0,364.819,0.0
1,2061.0,-20541.0,364.785,0.0
1,2063.0,-20539.0,364.75,0.0
1,2065.0,-20537.0,364.717,0.0
1,2067.0,-20535.0,364.679,0.0
1,2069.0,-20533.0,364.645,0.0
1,2071.0,-20531.0,364.612,0.0
1,2073.0,-20529.0,364.587,0.0
1,2075.0,-20527.0,364.561,0.0
1,2077.0,-20525.0,364.538,0.0
1,2079.0,-20523.0,364.511,0.0
1,2081.0,-20521.0,364.482,0.0
1,2083.0,-20519.0,364.451,0.0
1,2085.0,-20517.0,364.416,0.0
1,2087.0,-20515.0,364.382,0.0
1,2089.0,-20513.0,364.351,0.0
1,2091.0,-20511.0,364.324,0.0
1,2093.0,-20509.0,364.294,0.0
1,2095.0,-20507.0,364.259,0.0
1,2097.0,-20505.0,364.221,0.0
1,2099.0,-20503.0,364.202,0.0
1,2101.0,-20501.0,364.152,0.0
1,2103.0,-20499.0,364.12,0.0
1,2105.0,-20497.0,364.093,0.0
1,2107.0,-20495.0,364.075,0.0
1,2109.0,-20493.0,364.059,0.0
1,2111.0,-20491.0,364.042,0.0
1,2113.0,-20489.0,364.022,0.0
1,2115.0,-20487.0,363.999,0.0
1,2117.0,-20485.0,363.968,0.0
1,2119.0,-20483.0,363.932,0.0
1,2121.0,-20481.0,363.893,0.0
1,2123.0,-20479.0,363.854,0.0
1,2125.0,-20477.0,363.814,0.0
1,2127.0,-20475.0,363.774,0.0
1,2129.0,-20473.0,363.734,0.0
1,2131.0,-20471.0,363.696,0.0
1,2133.0,-20469.0,363.66,0.0
1,2135.0,-20467.0,363.624,0.0
1,2137.0,-20465.0,363.591,0.0
1,2139.0,-20463.0,363.56,0.0
1,2141.0,-20461.0,363.533,0.0
1,2143.0,-20459.0,363.508,0.0
1,2145.0,-20457.0,363.488,0.0
1,2147.0,-20455.0,363.468,0.0
1,2149.0,-20453.0,363.445,0.0
1,2151.0,-20451.0,363.416,0.0
1,2153.0,-20449.0,363.381,0.0
1,2155.0,-20447.0,363.344,0.0
1,2157.0,-20445.0,363.302,0.0
1,2159.0,-20443.0,363.261,0.0
1,2161.0,-20441.0,363.217,0.0
1,2163.0,-20439.0,363.174,0.0
1,2165.0,-20437.0,363.127,0.0
1,2167.0,-20435.0,363.08,0.0
1,2169.0,-20433.0,363.039,0.0
1,2171.0,-20431.0,363.001,0.0
1,2173.0,-20429.0,362.966,0.0
1,2175.0,-20427.0,362.933,0.0
1,2177.0,-20425.0,362.912,0.0
1,2179.0,-20423.0,362.896,0.0
1,2181.0,-20421.0,362.884,0.0
1,2183.0,-20419.0,362.869,0.0
1,2185.0,-20417.0,362.848,0.0
1,2187.0,-20415.0,362.823,0.0
