fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
1,,,,247.0,2303.524021488503,2303.524021488503,1,0,112.992,0.0
74,,,,592.0,2787.524021488503,2787.524021488503,74,0,112.976,0.0
75,,,,601.0,2790.524021488503,2790.524021488503,75,0,112.925,0.0
76,,,,612.0,2793.524021488503,2793.524021488503,76,0,112.875,0.0
77,,,,627.0,2796.524021488503,2796.524021488503,77,0,112.826,0.0
78,,,,631.0,2799.524021488503,2799.524021488503,78,0,112.778,0.0
79,,,,634.0,2802.524021488503,2802.524021488503,79,0,112.731,0.0
80,,,,636.0,2805.524021488503,2805.524021488503,1,1,112.685,0.0
81,,,,637.0,2808.524021488503,2808.524021488503,2,1,112.643,0.0
82,,,,644.0,2811.524021488503,2811.524021488503,3,1,112.597,0.0
83,,,,659.0,2814.524021488503,2814.524021488503,4,1,112.545,0.0
84,,,,663.0,2817.524021488503,2817.524021488503,5,1,112.484,0.0
85,,,,673.0,2820.524021488503,2820.524021488503,6,1,112.411,0.0
86,,,,684.0,2823.524021488503,2823.524021488503,7,1,112.338,0.0
87,,,,690.0,2826.524021488503,2826.524021488503,8,1,112.263,0.0
88,,,,697.0,2829.524021488503,2829.524021488503,9,1,112.191,0.0
89,,,,702.0,2832.524021488503,2832.524021488503,10,1,112.124,0.0
90,,,,699.0,2835.524021488503,2835.524021488503,11,1,112.058,0.0
91,,,,702.0,2838.524021488503,2838.524021488503,12,1,112.009,0.0
92,,,,706.0,2841.524021488503,2841.524021488503,13,1,111.972,0.0
93,,,,714.0,2844.524021488503,2844.524021488503,14,1,111.942,0.0
94,,,,725.0,2847.524021488503,2847.524021488503,15,1,111.916,0.0
95,,,,736.0,2850.524021488503,2850.524021488503,16,1,111.886,0.0
96,,,,747.0,2853.524021488503,2853.524021488503,17,1,111.869,0.0
97,,,,759.0,2856.524021488503,2856.524021488503,18,1,111.859,0.0
98,,,,769.0,2859.524021488503,2859.524021488503,19,1,111.856,0.0
103,,,,813.0,2874.524021488503,2874.524021488503,24,1,111.852,0.0
104,,,,821.0,2877.524021488503,2877.524021488503,25,1,111.824,0.0
117,,,,841.0,2916.524021488503,2916.524021488503,38,1,111.767,0.0
118,,,,857.0,2919.524021488503,2919.524021488503,39,1,111.717,0.0
119,,,,861.0,2922.524021488503,2922.524021488503,40,1,111.675,0.0
120,,,,873.0,2925.524021488503,2925.524021488503,41,1,111.644,0.0
121,,,,882.0,2928.524021488503,2928.524021488503,42,1,111.62,0.0
122,,,,893.0,2931.524021488503,2931.524021488503,43,1,111.614,0.0
129,,,,964.0,2952.524021488503,2952.524021488503,50,1,111.574,0.0
130,,,,976.0,2955.524021488503,2955.524021488503,51,1,111.522,0.0
131,,,,982.0,2958.524021488503,2958.524021488503,52,1,111.469,0.0
132,,,,986.0,2961.524021488503,2961.524021488503,53,1,111.427,0.0
133,,,,990.0,2964.524021488503,2964.524021488503,54,1,111.421,0.0
139,,,,1053.0,2982.524021488503,2982.524021488503,60,1,111.371,0.0
140,,,,1057.0,2985.524021488503,2985.524021488503,61,1,111.325,0.0
141,,,,1059.0,2988.524021488503,2988.524021488503,62,1,111.303,0.0
147,,,,1113.0,3006.524021488503,3006.524021488503,68,1,111.28,0.0
148,,,,1123.0,3009.524021488503,3009.524021488503,69,1,111.229,0.0
149,,,,1128.0,3012.524021488503,3012.524021488503,70,1,111.199,0.0
150,,,,1134.0,3015.524021488503,3015.524021488503,71,1,111.198,0.0
155,,,,1168.0,3030.524021488503,3030.524021488503,76,1,111.146,0.0
156,,,,1177.0,3033.524021488503,3033.524021488503,77,1,111.102,0.0
157,,,,1178.0,3036.524021488503,3036.524021488503,78,1,111.08,0.0
