fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
23,1,1,-752.756508171139,-6445.970275171254,,,,236.0,134.868
93,1,71,-259.756508171139,-5952.970275171254,,,,1049.0,134.816
96,1,74,-238.756508171139,-5931.970275171254,,,,1115.0,134.751
99,1,77,-217.756508171139,-5910.970275171254,,,,1188.0,134.681
100,1,78,-210.756508171139,-5903.970275171254,,,,1201.0,134.583
101,1,79,-203.756508171139,-5896.970275171254,,,,1226.0,134.563
103,1,81,-189.756508171139,-5882.970275171254,,,,1284.0,134.5
104,1,82,-182.756508171139,-5875.970275171254,,,,1311.0,134.451
107,1,85,-160.756508171139,-5853.970275171254,,,,1395.0,134.327
111,1,89,-132.756508171139,-5825.970275171254,,,,1505.0,134.207
112,1,90,-125.756508171139,-5818.970275171254,,,,1533.0,134.161
115,1,93,-104.756508171139,-5797.970275171254,,,,1613.0,134.08
116,1,94,-97.756508171139,-5790.970275171254,,,,1642.0,133.968
119,1,97,-76.756508171139,-5769.970275171254,,,,1730.0,133.849
120,1,98,-69.756508171139,-5762.970275171254,,,,1756.0,133.811
122,1,100,-55.756508171139,-5748.970275171254,,,,1814.0,133.804
123,1,101,-48.756508171139,-5741.970275171254,,,,1844.0,133.672
124,1,102,-41.756508171139,-5734.970275171254,,,,1872.0,133.616
127,1,105,-20.756508171139,-5713.970275171254,,,,1968.0,133.577
128,1,106,-13.756508171139,-5706.970275171254,,,,1996.0,133.433
129,1,107,-7.756508171139,-5700.970275171254,,,,2027.0,133.386
130,1,108,-6.756508171139,-5699.970275171254,,,,2033.0,133.385
133,1,111,14.243491828861,-5678.970275171254,,,,2115.0,133.303
134,1,112,21.243491828861,-5671.970275171254,,,,2116.0,133.172
135,1,113,28.243491828861,-5664.970275171254,,,,2134.0,133.112
136,1,114,35.243491828861,-5657.970275171254,,,,2156.0,133.047
137,1,115,42.243491828861,-5650.970275171254,,,,2172.0,133.028
141,1,119,70.243491828861,-5622.970275171254,,,,2281.0,132.98
142,1,120,77.243491828861,-5615.970275171254,,,,2305.0,132.889
143,1,121,84.243491828861,-5608.970275171254,,,,2345.0,132.84
146,1,124,106.243491828861,-5586.970275171254,,,,2424.0,132.815
147,1,125,113.243491828861,-5579.970275171254,,,,2464.0,132.688
148,1,126,120.243491828861,-5572.970275171254,,,,2482.0,132.659
151,1,129,141.243491828861,-5551.970275171254,,,,2562.0,132.583
152,1,130,148.243491828861,-5544.970275171254,,,,2595.0,132.569
154,1,132,162.243491828861,-5530.970275171254,,,,2660.0,132.523
155,1,133,169.243491828861,-5523.970275171254,,,,2688.0,132.402
156,1,134,176.243491828861,-5516.970275171254,,,,2720.0,132.353
159,1,137,197.243491828861,-5495.970275171254,,,,2802.0,132.293
160,1,138,204.243491828861,-5488.970275171254,,,,2830.0,132.164
161,1,139,211.243491828861,-5481.970275171254,,,,2866.0,132.132
163,1,141,225.243491828861,-5467.970275171254,,,,2924.0,132.094
164,1,142,232.243491828861,-5460.970275171254,,,,2933.0,131.972
165,1,143,239.243491828861,-5453.970275171254,,,,2961.0,131.921
170,1,148,274.243491828861,-5418.970275171254,,,,3012.0,131.864
171,1,149,281.243491828861,-5411.970275171254,,,,3031.0,131.724
172,1,150,288.243491828861,-5404.970275171254,,,,3050.0,131.698
176,1,154,316.243491828861,-5376.970275171254,,,,3091.0,131.621
177,1,155,323.243491828861,-5369.970275171254,,,,3099.0,131.469
178,1,156,330.243491828861,-5362.970275171254,,,,3102.0,131.365
179,1,157,338.243491828861,-5354.970275171254,,,,3115.0,131.324
249,1,227,830.243491828861,-4862.970275171254,,,,3075.0,131.268
250,1,228,837.243491828861,-4855.970275171254,,,,3079.0,131.156
251,1,229,844.243491828861,-4848.970275171254,,,,3078.0,131.1
253,1,231,858.243491828861,-4834.970275171254,,,,3052.0,131.094
254,1,232,865.243491828861,-4827.970275171254,,,,3039.0,130.975
255,1,233,872.243491828861,-4820.970275171254,,,,3029.0,130.851
256,1,234,879.243491828861,-4813.970275171254,,,,3013.0,130.735
257,1,235,886.243491828861,-4806.970275171254,,,,3009.0,130.6
258,1,236,892.243491828861,-4800.970275171254,,,,2992.0,130.497
259,1,237,893.243491828861,-4799.970275171254,,,,2988.0,130.479
260,1,238,900.243491828861,-4792.970275171254,,,,2971.0,130.342
261,1,239,907.243491828861,-4785.970275171254,,,,2971.0,130.199
262,1,240,914.243491828861,-4778.970275171254,,,,2973.0,130.046
263,1,241,921.243491828861,-4771.970275171254,,,,2968.0,129.895
264,2,1,928.243491828861,-4764.970275171254,,,,2946.0,129.752
265,2,2,935.243491828861,-4757.970275171254,,,,2942.0,129.596
266,2,3,942.243491828861,-4750.970275171254,,,,2942.0,129.443
267,2,4,949.243491828861,-4743.970275171254,,,,2944.0,129.287
268,2,5,956.243491828861,-4736.970275171254,,,,2947.0,129.151
269,2,6,963.243491828861,-4729.970275171254,,,,2934.0,129.015
270,2,7,970.243491828861,-4722.970275171254,,,,2941.0,128.851
271,2,8,977.243491828861,-4715.970275171254,,,,2926.0,128.693
272,2,9,984.243491828861,-4708.970275171254,,,,2918.0,128.526
273,2,10,991.243491828861,-4701.970275171254,,,,2908.0,128.37
274,2,11,998.243491828861,-4694.970275171254,,,,2904.0,128.185
275,2,12,1005.243491828861,-4687.970275171254,,,,2918.0,128.004
276,2,13,1012.243491828861,-4680.970275171254,,,,2943.0,127.832
277,2,14,1019.243491828861,-4673.970275171254,,,,2939.0,127.674
278,2,15,1026.243491828861,-4666.970275171254,,,,2945.0,127.51
279,2,16,1033.243491828861,-4659.970275171254,,,,2967.0,127.351
280,2,17,1041.243491828861,-4651.970275171254,,,,2976.0,127.175
281,2,18,1048.243491828861,-4644.970275171254,,,,2982.0,127.013
282,2,19,1055.243491828861,-4637.970275171254,,,,2983.0,126.859
283,2,20,1062.243491828861,-4630.970275171254,,,,2979.0,126.709
284,2,21,1069.243491828861,-4623.970275171254,,,,2974.0,126.537
285,2,22,1076.243491828861,-4616.970275171254,,,,2963.0,126.362
286,2,23,1083.243491828861,-4609.970275171254,,,,2947.0,126.175
287,2,24,1090.243491828861,-4602.970275171254,,,,2923.0,125.985
288,2,25,1097.243491828861,-4595.970275171254,,,,2905.0,125.788
289,2,26,1104.243491828861,-4588.970275171254,,,,2889.0,125.588
290,2,27,1111.243491828861,-4581.970275171254,,,,2876.0,125.397
291,2,28,1118.243491828861,-4574.970275171254,,,,2874.0,125.227
292,2,29,1125.243491828861,-4567.970275171254,,,,2888.0,125.057
293,2,30,1132.243491828861,-4560.970275171254,,,,2897.0,124.889
294,2,31,1139.243491828861,-4553.970275171254,,,,2914.0,124.722
295,2,32,1146.243491828861,-4546.970275171254,,,,2923.0,124.566
296,2,33,1153.243491828861,-4539.970275171254,,,,2929.0,124.408
297,2,34,1160.243491828861,-4532.970275171254,,,,2938.0,124.248
298,2,35,1167.243491828861,-4525.970275171254,,,,2943.0,124.084
299,2,36,1174.243491828861,-4518.970275171254,,,,2930.0,123.917
300,2,37,1181.243491828861,-4511.970275171254,,,,2909.0,123.739
301,2,38,1188.243491828861,-4504.970275171254,,,,2886.0,123.545
302,2,39,1195.243491828861,-4497.970275171254,,,,2862.0,123.343
303,2,40,1202.243491828861,-4490.970275171254,,,,2844.0,123.148
304,2,41,1209.243491828861,-4483.970275171254,,,,2833.0,122.956
305,2,42,1216.243491828861,-4476.970275171254,,,,2814.0,122.768
306,2,43,1223.243491828861,-4469.970275171254,,,,2799.0,122.578
307,2,44,1230.243491828861,-4462.970275171254,,,,2794.0,122.381
308,2,45,1237.243491828861,-4455.970275171254,,,,2785.0,122.2
309,2,46,1244.243491828861,-4448.970275171254,,,,2769.0,122.02
310,2,47,1251.243491828861,-4441.970275171254,,,,2765.0,121.842
311,2,48,1258.243491828861,-4434.970275171254,,,,2748.0,121.657
312,2,49,1265.243491828861,-4427.970275171254,,,,2719.0,121.458
313,2,50,1272.243491828861,-4420.970275171254,,,,2698.0,121.264
314,2,51,1279.243491828861,-4413.970275171254,,,,2672.0,121.074
315,2,52,1287.243491828861,-4405.970275171254,,,,2640.0,120.85
316,2,53,1294.243491828861,-4398.970275171254,,,,2626.0,120.646
317,2,54,1301.243491828861,-4391.970275171254,,,,2613.0,120.457
318,2,55,1308.243491828861,-4384.970275171254,,,,2600.0,120.3
319,2,56,1315.243491828861,-4377.970275171254,,,,2565.0,120.134
320,2,57,1322.243491828861,-4370.970275171254,,,,2553.0,119.96
321,2,58,1329.243491828861,-4363.970275171254,,,,2533.0,119.787
322,2,59,1336.243491828861,-4356.970275171254,,,,2517.0,119.639
