fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
3,,,,205.0,-2434.68900622638,-8142.317018467679,1,0,134.928,0.0
4,,,,204.0,-2404.68900622638,-8112.317018467679,2,0,134.927,0.0
38,,,,752.0,-1923.68900622638,-7631.317018467679,36,0,134.869,0.0
39,,,,784.0,-1913.68900622638,-7621.317018467679,37,0,134.714,0.0
40,,,,813.0,-1903.68900622638,-7611.317018467679,38,0,134.589,0.0
41,,,,845.0,-1893.68900622638,-7601.317018467679,39,0,134.553,0.0
42,,,,881.0,-1883.68900622638,-7591.317018467679,40,0,134.435,0.0
44,,,,921.0,-1863.68900622638,-7571.317018467679,42,0,134.4,0.0
46,,,,971.0,-1843.68900622638,-7551.317018467679,44,0,134.364,0.0
47,,,,989.0,-1833.68900622638,-7541.317018467679,45,0,134.3,0.0
48,,,,1009.0,-1823.68900622638,-7531.317018467679,46,0,134.22,0.0
49,,,,1030.0,-1813.68900622638,-7521.317018467679,47,0,134.104,0.0
51,,,,1068.0,-1793.68900622638,-7501.317018467679,49,0,133.999,0.0
53,,,,1101.0,-1773.68900622638,-7481.317018467679,51,0,133.869,0.0
56,,,,1130.0,-1743.68900622638,-7451.317018467679,54,0,133.755,0.0
58,,,,1124.0,-1723.68900622638,-7431.317018467679,56,0,133.65,0.0
59,,,,1134.0,-1713.68900622638,-7421.317018467679,57,0,133.596,0.0
60,,,,1139.0,-1703.68900622638,-7411.317018467679,58,0,133.556,0.0
61,,,,1147.0,-1693.68900622638,-7401.317018467679,59,0,133.528,0.0
62,,,,1146.0,-1683.68900622638,-7391.317018467679,60,0,133.498,0.0
63,,,,1151.0,-1673.68900622638,-7381.317018467679,61,0,133.341,0.0
65,,,,1157.0,-1653.68900622638,-7361.317018467679,63,0,133.21,0.0
66,,,,1163.0,-1643.68900622638,-7351.317018467679,64,0,133.044,0.0
68,,,,1188.0,-1623.68900622638,-7331.317018467679,66,0,133.017,0.0
70,,,,1215.0,-1603.68900622638,-7311.317018467679,68,0,132.905,0.0
72,,,,1237.0,-1583.68900622638,-7291.317018467679,70,0,132.825,0.0
73,,,,1248.0,-1573.68900622638,-7281.317018467679,71,0,132.794,0.0
74,,,,1254.0,-1563.68900622638,-7271.317018467679,72,0,132.763,0.0
75,,,,1266.0,-1553.68900622638,-7261.317018467679,73,0,132.641,0.0
77,,,,1278.0,-1533.68900622638,-7241.317018467679,75,0,132.499,0.0
79,,,,1318.0,-1513.68900622638,-7221.317018467679,77,0,132.355,0.0
81,,,,1353.0,-1493.68900622638,-7201.317018467679,79,0,132.248,0.0
83,,,,1385.0,-1473.68900622638,-7181.317018467679,81,0,132.128,0.0
85,,,,1407.0,-1453.68900622638,-7161.317018467679,83,0,132.039,0.0
88,,,,1428.0,-1423.68900622638,-7131.317018467679,86,0,131.958,0.0
89,,,,1435.0,-1413.68900622638,-7121.317018467679,87,0,131.872,0.0
92,,,,1447.0,-1383.68900622638,-7091.317018467679,90,0,131.774,0.0
95,,,,1445.0,-1353.68900622638,-7061.317018467679,93,0,131.679,0.0
171,,,,2227.0,-591.68900622638,-6299.317018467679,53,1,131.452,0.0
172,,,,2228.0,-581.68900622638,-6289.317018467679,54,1,131.19,0.0
173,,,,2225.0,-571.68900622638,-6279.317018467679,55,1,131.057,0.0
182,,,,2246.0,-481.68900622638,-6189.317018467679,64,1,131.003,0.0
184,,,,2272.0,-461.68900622638,-6169.317018467679,66,1,130.904,0.0
185,,,,2281.0,-451.68900622638,-6159.317018467679,67,1,130.888,0.0
186,,,,2287.0,-441.68900622638,-6149.317018467679,68,1,130.694,0.0
190,,,,2264.0,-401.68900622638,-6109.317018467679,72,1,130.596,0.0
191,,,,2274.0,-391.68900622638,-6099.317018467679,73,1,130.375,0.0
204,,,,2456.0,-261.68900622638,-5969.317018467679,86,1,130.372,0.0
205,,,,2480.0,-251.68900622638,-5959.317018467679,87,1,130.285,0.0
207,,,,2529.0,-231.68900622638,-5939.317018467679,89,1,130.157,0.0
325,,,,3083.0,927.31099377362,-4780.317018467679,207,1,130.144,0.0
326,,,,3069.0,937.31099377362,-4770.317018467679,1,2,129.892,61421.11959738543
327,,,,3056.0,947.31099377362,-4760.317018467679,2,2,129.647,60236.716263188944
328,,,,3039.0,957.31099377362,-4750.317018467679,3,2,129.397,61996.4172677734
329,,,,3061.0,967.31099377362,-4740.317018467679,4,2,129.227,42528.87253712735
331,,,,3085.0,987.31099377362,-4720.317018467679,6,2,129.117,28057.245851303207
332,,,,3100.0,997.31099377362,-4710.317018467679,7,2,129.098,4892.892506881936
334,,,,3124.0,1017.31099377362,-4690.317018467679,9,2,128.974,32554.89586536427
336,,,,3135.0,1037.31099377362,-4670.317018467679,11,2,128.942,8561.251272639
337,,,,3122.0,1047.31099377362,-4660.317018467679,12,2,128.865,20790.316113627778
339,,,,3141.0,1067.31099377362,-4640.317018467679,14,2,128.765,27497.133132596027
341,,,,3144.0,1087.31099377362,-4620.317018467679,16,2,128.698,18756.137476119897
342,,,,3138.0,1097.31099377362,-4610.317018467679,17,2,128.461,66877.46528993433
343,,,,3113.0,1107.31099377362,-4600.317018467679,18,2,128.217,69350.2585873973
344,,,,3095.0,1117.31099377362,-4590.317018467679,19,2,127.969,70987.37969422579
345,,,,3067.0,1127.31099377362,-4580.317018467679,20,2,127.72,71772.01415105743
346,,,,3047.0,1137.31099377362,-4570.317018467679,21,2,127.462,74877.09385538881
347,,,,3046.0,1147.31099377362,-4560.317018467679,22,2,127.183,81511.80523464484
348,,,,3046.0,1157.31099377362,-4550.317018467679,23,2,126.909,80573.38941820018
349,,,,3053.0,1167.31099377362,-4540.317018467679,24,2,126.625,84050.65924069566
350,,,,3053.0,1177.31099377362,-4530.317018467679,25,2,126.353,81010.78831854036
351,,,,3033.0,1187.31099377362,-4520.317018467679,26,2,126.079,82121.98912579218
352,,,,3011.0,1197.31099377362,-4510.317018467679,27,2,125.796,85345.07595555084
